RIC_Olink_1,RIC_Olink_2,RIC_Olink_3,Mean value,CV%
29.20356,24.65703,32.65073,28.83710667,13.90%
33.11352,26.18276,28.00527,29.10051667,12.35%
33.94516,28.64152,25.21466,29.26711333,15.03%
36.19315,21.95701,30.34379,29.49798333,24.26%
38.01627,31.34163,19.40397,29.58729,31.87%
30.69474,22.06888,36.11683,29.62681667,23.91%
28.56023,29.75833,30.86307,29.72721,3.87%
28.84017,35.29002,25.21638,29.78219,17.13%
29.70508,25.41149,34.39584,29.83747,15.06%
36.46387,22.28544,30.86543,29.87158,23.91%
36.89981,23.00724,29.72057,29.87587333,23.25%
38.98863,23.68226,27.13796,29.93628333,26.82%
37.25271,31.34957,21.26191,29.95473,26.99%
32.35845,21.55482,36.22359,30.04562,25.30%
33.34754,34.7411,22.17253,30.08705667,22.90%
9.76206,69.01434,11.8255,30.20063333,111.35%
35.10133,23.74491,31.7758,30.20734667,19.33%
37.0727,30.48659,23.37479,30.31136,22.60%
37.34982,20.41878,33.29256,30.35372,29.12%
41.59542,27.06138,22.44852,30.36844,32.90%
40.54879,30.94398,19.63916,30.37731,34.45%
30.94201,25.43598,35.62248,30.66682333,16.63%
41.8981,25.9711,24.20686,30.69202,31.75%
35.3902,30.45774,26.74733,30.86509,14.05%
34.19042,30.13513,28.69569,31.00708,9.19%
35.56905,31.6402,26.29044,31.16656333,14.94%
33.3242,29.68075,30.58099,31.19531333,6.08%
36.5305,22.65932,35.05485,31.41489,24.25%
42.23699,24.75526,27.30699,31.43308,30.04%
32.8811,30.63059,30.88951,31.46706667,3.91%
34.84516,25.768,34.21468,31.60928,16.03%
34.68033,29.6201,30.91941,31.73994667,8.28%
31.63262,22.27787,41.34767,31.75272,30.03%
32.86409,24.44862,38.52237,31.94502667,22.17%
32.08962,27.72897,36.3848,32.06779667,13.50%
34.62942,28.55836,33.16387,32.11721667,9.86%
33.34272,27.0107,36.62636,32.32659333,15.12%
35.45375,33.29378,28.25102,32.33285,11.43%
35.90198,23.72585,37.96535,32.53106,23.65%
34.41861,32.37261,30.90393,32.56505,5.42%
34.26225,25.23035,38.39278,32.62846,20.63%
34.5645,26.61825,37.4282,32.87031667,17.04%
29.11888,34.37529,35.89238,33.12885,10.73%
34.89483,24.93999,40.22734,33.35405333,23.26%
34.95255,30.74722,34.65696,33.45224333,7.02%
36.70272,32.42514,31.89561,33.67449,7.83%
38.42457,27.20481,35.79603,33.80847,17.36%
35.7146,28.86228,37.68994,34.08894,13.59%
41.12295,28.71211,32.54673,34.12726333,18.62%
33.06554,31.38702,38.37438,34.27564667,10.64%
35.36599,33.18756,34.3351,34.29621667,3.18%
35.3794,30.91787,37.85878,34.71868333,10.13%
31.85445,34.32767,38.0465,34.74287333,8.97%
37.72052,22.64179,43.92076,34.76102333,31.48%
41.5128,23.00231,41.67144,35.39551667,30.32%
39.64928,26.65009,40.96269,35.75402,22.13%
34.90109,32.30781,40.43728,35.88206,11.57%
37.572,34.50595,35.62116,35.89970333,4.32%
32.32918,36.86579,38.57252,35.92249667,8.98%
36,37.87529,33.99396,35.95641667,5.40%
42.03864,25.22614,40.67421,35.97966333,25.95%
32.95183,31.6303,43.52503,36.03572,18.09%
34.68697,31.45828,42.73558,36.29361,16.00%
36.12799,29.25652,43.56341,36.31597333,19.70%
41.45146,34.64011,33.09315,36.39490667,12.22%
34.8581,33.74657,40.63636,36.41367667,10.16%
33.86306,33.27669,42.34127,36.49367333,13.90%
35.57553,34.76689,39.72877,36.69039667,7.26%
38.45463,31.92569,39.88043,36.75358333,11.54%
36.80111,32.12564,41.5369,36.82121667,12.78%
37.67023,29.1906,44.41574,37.09219,20.57%
35.11628,33.71198,43.8116,37.54662,14.57%
38.81615,36.71687,37.34748,37.62683333,2.86%
12.34062,55.55371,45.22693,37.70708667,59.85%
49.98312,28.41757,35.76512,38.05527,28.81%
43.2425,31.22368,40.50654,38.32424,16.44%
36.36082,33.77398,45.99942,38.71140667,16.64%
87.23067,21.73225,8.01404,38.99232,108.57%
38.33473,58.07835,21.60652,39.33986667,46.41%
11.84612,93.80149,12.79975,39.48245333,119.15%
25.01768,63.87069,34.63717,41.17518,49.14%
8.70046,82.45143,43.77503,44.97564,82.02%
29.7539,22.14912,84.0062,45.30307333,74.46%
30.99514,50.94033,58.14761,46.69436,30.12%
24.33266,70.34368,54.692,49.78944667,46.99%
27.06676,92.22273,37.07119,52.12022667,67.32%
52.79416,51.19897,55.45239,53.14850667,4.04%
56.21758,56.21758,56.53088,56.32201333,0.32%
53.49153,56.49896,63.27794,57.75614333,8.68%
58.64385,56.81611,59.59314,58.35103333,2.42%
59.30923,56.75244,60.66921,58.91029333,3.38%
59.07904,77.00238,43.764,59.94847333,27.75%
61.61262,64.16665,56.21758,60.66561667,6.69%
118.85617,39.08667,25.6678,61.20354667,82.31%
47.31624,91.54197,45.39501,61.41774,42.51%
63.4763,63.4865,59.67267,62.21182333,3.53%
18.41736,98.24578,70.66264,62.44192667,64.93%
34.93777,104.06517,55.72665,64.90986333,54.64%
98.87994,66.24061,37.60473,67.57509333,45.37%
57.68769,84.37385,62.67068,68.24407333,20.79%
57.30471,47.25944,101.08511,68.54975333,41.75%
57.17308,67.95466,81.69548,68.94107333,17.83%
89.48304,79.29577,44.01963,70.93281333,33.63%
99.42188,58.99999,55.49088,71.30425,34.24%
81.32682,37.91163,96.01231,71.75025333,42.11%
92.02064,70.78648,54.27583,72.36098333,26.15%
58.86109,73.83229,85.98546,72.89294667,18.64%
98.56057,72.17877,49.32341,73.35425,33.59%
110.7801,58.40782,53.20437,74.13076333,42.96%
138.65077,61.96782,22.10927,74.24262,79.78%
46.60485,124.80247,55.45587,75.62106333,56.63%
77.85737,68.11522,86.06024,77.34427667,11.61%
68.14321,142.64285,21.4769,77.42098667,78.94%
96.26537,66.915,71.88376,78.35471,20.05%
91.3539,58.22264,85.59833,78.39162333,22.58%
81.65114,82.4211,71.40103,78.49109,7.84%
65.2668,71.90833,99.59245,78.92252667,23.07%
102.92801,46.83858,88.20802,79.32487,36.66%
99.62235,82.73178,55.97312,79.44241667,27.71%
97.07129,99.08854,43.26142,79.80708333,39.68%
82.44153,71.80557,85.97616,80.07442,9.21%
106.24453,78.52868,56.02202,80.26507667,31.34%
39.4354,91.19745,111.03795,80.55693333,45.89%
104.17734,73.97509,64.74184,80.96475667,25.48%
95.06474,59.40092,89.27123,81.24563,23.56%
99.49871,72.51151,72.09633,81.36885,19.30%
116.29685,62.85455,67.1746,82.10866667,36.16%
102.08566,52.33151,91.97197,82.12971333,32.02%
24.85225,118.05387,106.43122,83.11244667,61.11%
96.18129,120.87531,34.90717,83.98792333,52.70%
71.779,89.89562,90.73789,84.13750333,12.73%
103.39893,63.04741,87.07227,84.50620333,24.02%
101.13193,64.25065,88.45219,84.61159,22.15%
86.55005,89.31515,78.63441,84.83320333,6.53%
128.08054,64.80507,62.49811,85.12790667,43.72%
96.36871,81.1608,79.6316,85.72037,10.79%
100.26685,76.55612,80.5836,85.80219,14.79%
91.07774,85.40115,81.87679,86.11856,5.39%
32.94881,140.61764,84.80668,86.12437667,62.52%
128.13463,61.94759,68.41311,86.16511,42.35%
88.78939,82.38786,87.9539,86.37705,4.03%
105.34676,70.43414,83.47384,86.41824667,20.41%
52.96175,168.03887,39.57275,86.85779,81.31%
93.23162,69.24298,98.1502,86.87493333,17.80%
85.97616,85.97616,89.82602,87.25944667,2.55%
89.2401,75.93403,97.17114,87.44842333,12.27%
90.41895,75.76959,96.84944,87.67932667,12.32%
91.40584,78.51338,93.67761,87.86561,9.31%
107.19164,71.38266,86.87234,88.48221333,20.30%
104.88473,74.56284,89.12823,89.52526667,16.94%
45.26874,136.20333,88.05082,89.84096333,50.64%
101.42313,49.44658,119.59176,90.15382333,40.38%
102.53862,82.92055,85.11954,90.19290333,11.92%
97.73385,78.26589,96.11831,90.70601667,11.91%
112.56695,81.16888,78.71019,90.81534,20.79%
99.3114,89.05864,84.23658,90.86887333,8.47%
109.40964,110.09817,54.35683,91.28821333,35.04%
98.70174,73.5197,104.21987,92.14710333,17.76%
56.57512,60.06765,160.08382,92.24219667,63.72%
103.71047,73.99533,99.37987,92.36189,17.38%
106.91183,81.16718,89.38134,92.48678333,14.22%
92.79675,79.98285,105.59687,92.79215667,13.80%
103.25663,107.68615,68.67693,93.20657,22.92%
98.15989,71.22151,111.43512,93.60550667,21.89%
100.50086,81.44349,98.93747,93.62727333,11.30%
109.11973,67.44484,104.51078,93.69178333,24.39%
123.31407,87.67909,70.28726,93.76014,28.83%
100.78,77.22957,104.39223,94.13393333,15.67%
93.78583,72.38959,117.05124,94.40888667,23.66%
94.2972,81.86495,110.21223,95.45812667,14.89%
111.15291,78.70085,96.56233,95.47203,17.02%
106.65621,65.81512,114.66634,95.71255667,27.37%
133.09844,47.65955,107.46487,96.07428667,45.64%
111.48469,79.21733,98.35629,96.35277,16.84%
90.87965,71.8455,126.47107,96.39874,28.76%
131.7012,68.92474,89.71193,96.77929,33.04%
104.71045,88.07279,97.89391,96.89238333,8.63%
110.45295,71.13966,110.33352,97.30871,23.29%
108.68996,60.11521,123.2941,97.36642333,33.97%
115.02439,80.69202,98.9259,98.21410333,17.49%
97.4293,89.40263,107.87374,98.23522333,9.43%
88.8382,118.45148,89.6877,98.99246,17.03%
100.56938,82.7107,113.8026,99.02756,15.76%
110.6903,79.50367,107.98557,99.39318,17.38%
105.88687,74.559,119.61855,100.0214733,23.09%
135.48231,64.71559,101.45021,100.54937,35.20%
130.41874,68.21068,103.26531,100.6315767,30.99%
129.5871,73.45491,101.92228,101.6547633,27.61%
135.94848,61.62311,111.46449,103.0120267,36.77%
119.59475,90.55661,101.00135,103.71757,14.18%
117.01538,74.9725,120.70279,104.2302233,24.37%
118.61998,81.74776,115.38936,105.2523667,19.40%
105.93907,97.4182,113.71056,105.6892767,7.71%
66.62766,132.38853,122.9957,107.3372967,33.14%
142.47271,84.51852,102.59122,109.8608167,26.99%
23.00179,170.18654,141.97907,111.7224667,69.92%
111.97917,109.10423,114.71245,111.93195,2.51%
91.03259,105.33504,154.03599,116.8012067,28.28%
147.97974,88.20722,118.63281,118.2732567,25.27%
126.48004,109.20403,127.59036,121.0914767,8.51%
142.38636,94.13711,129.48165,122.0017067,20.47%
118.63226,126.48004,126.48004,123.8641133,3.66%
127.31761,112.7081,131.66553,123.89708,8.02%
146.4712,127.41686,125.32896,133.07234,8.76%
136.25303,126.39141,142.84723,135.16389,6.13%
133.39202,133.39202,140.71884,135.8342933,3.11%
93.36431,126.10785,191.28208,136.91808,36.41%
144.07215,131.70167,140.72934,138.8343867,4.61%
153.3452,138.84504,128.34628,140.17884,8.95%
149.96578,137.62946,133.39202,140.3290867,6.14%
146.11848,131.06598,153.96094,143.7151333,8.10%
148.36659,146.30846,146.30846,146.9945033,0.81%
157.72862,129.97127,155.18316,147.6276833,10.39%
146.30846,151.35499,146.77589,148.1464467,1.88%
162.91173,162.91173,171.48055,165.7680033,2.98%
368.03637,77.36679,62.02677,169.14331,101.94%
231.43501,179.59152,103.53173,171.51942,37.51%
234.97023,196.13708,96.88102,175.99611,40.46%
194.73491,172.36903,162.91173,176.67189,9.25%
253.57546,173.51933,120.81011,182.6349667,36.60%
229.01195,176.29888,147.94834,184.4197233,22.31%
232.98364,175.92533,149.76562,186.2248633,22.85%
242.07537,176.33968,142.40063,186.93856,27.11%
272.19489,185.40893,111.07948,189.5611,42.54%
255.15145,180.74477,141.77293,192.5563833,29.92%
94.543,377.6444,106.7791,192.9888333,82.92%
252.06835,165.09741,169.47292,195.5462267,25.06%
244.96762,207.38013,138.93463,197.0941267,27.28%
213.62753,180.04124,198.68822,197.45233,8.52%
239.0197,175.90496,177.63019,197.5182833,18.20%
250.83071,214.81871,131.26073,198.97005,30.83%
253.52488,170.78263,176.06506,200.12419,23.15%
261.65654,170.3409,171.16891,201.05545,26.10%
214.09541,160.89775,233.87494,202.9560333,18.60%
224.85819,155.00021,231.37058,203.7429933,20.78%
253.93255,171.02664,188.29496,204.41805,21.40%
237.44297,197.69949,178.66526,204.6025733,14.66%
265.67254,171.08433,180.64907,205.80198,25.30%
206.70149,198.11345,214.12614,206.3136933,3.88%
266.25624,176.41033,176.59523,206.4206,25.10%
224.07204,196.52068,198.81882,206.4705133,7.40%
220.605,166.91465,234.25383,207.2578267,17.18%
271.27647,173.51059,177.25718,207.34808,26.72%
213.47716,202.77415,208.22608,208.15913,2.57%
230.86033,181.55079,214.94136,209.1174933,12.03%
247.69698,205.30714,175.80376,209.6026267,17.24%
254.03785,204.17107,177.36001,211.85631,18.37%
264.49448,198.94948,174.12981,212.52459,21.97%
206.95196,213.62753,218.31442,212.9646367,2.68%
240.59156,193.33395,206.05345,213.32632,11.46%
237.92888,172.23226,230.36436,213.5085,16.84%
248.67372,199.20921,192.71615,213.5330267,14.33%
269.47494,200.15363,171.24741,213.6253267,23.63%
521.58796,99.10224,21.07247,213.92089,125.88%
265.4916,203.11579,174.16952,214.25897,21.78%
237.94516,205.29672,202.41076,215.2175467,9.17%
214.65439,200.68076,230.3277,215.22095,6.89%
231.26538,210.18267,207.1355,216.1945167,6.08%
257.71475,204.52088,187.22051,216.48538,16.97%
212.97531,368.37659,73.36971,218.2405367,67.62%
242.83229,181.83772,231.40682,218.6922767,14.83%
229.61836,204.26062,223.13209,219.00369,6.02%
227.30017,210.39593,219.44284,219.0463133,3.86%
